Small Unit Installation Postcode,Dec 2010 - Installations Quantity,Dec 2010 - SGU Rated Output In kW
3026,0,0
3027,25,37.927
3028,290,420.78
3029,764,1185.825
3030,781,1210.159
3031,84,144.341
3032,142,226.291
3033,102,157.037
3034,80,130.042
3036,67,106.058
3037,337,540.889
3038,234,369.464
3039,84,139.014
3040,149,245.62
3041,73,109.603
3042,81,125.273
3043,129,226.037
3044,202,262.792
3045,1,1.75
3046,131,179.265
3047,102,150.237
3048,85,125.905
3049,33,56.639
3051,16,24.917
3052,15,29.134
3053,17,24.31
3054,44,64.357
3055,82,132.787
3056,133,194.13
3057,46,66.037
3058,219,321.008
3059,106,204.047
3060,60,84.37
3061,18,30.54
3062,2,4.21
3063,4,11.78
3064,397,626.918
3065,41,59.547
3066,14,24.9
3067,23,33.567
3068,112,171.209
3070,205,317.252
3071,95,148.166
3072,157,256.966
3073,399,613.935
3074,89,134.32
3075,79,116.912
3076,417,539.512
3078,91,145.911
3079,107,207.107
3081,67,104.688
3082,155,242.486
3083,356,569.03
3084,184,282.401
3085,91,156.431
3087,51,80.452
3088,188,292.541
3089,80,132.379
3090,9,14.19
3091,15,25.76
3093,22,37.605
3094,54,76.997
3095,216,365.767
3096,20,37.68
3097,23,37.44
3099,76,135.264
3101,156,266.112
3102,58,87.91
3103,102,168.042
3104,116,188.155
3105,66,99.529
3106,224,305.384
3107,79,143.024
3108,104,159.119
3109,163,255.878
3111,206,285.668
3113,115,185.469
3114,34,60.522
3115,34,52.5
3116,91,147.967
3121,87,128.641
3122,83,158.552
3123,65,90.397
3124,154,255.538
3125,143,188.861
3126,44,81.913
3127,137,224.594
3128,127,198.778
3129,139,213.335
3130,303,433.249
3131,260,353.593
3132,135,192.304
3133,335,449.36
3134,286,463.658
3135,163,245.216
3136,313,496.787
3137,116,184.832
3138,181,289.772
3139,139,229.597
3140,145,217.886
3141,39,60.9
3142,22,48.799
3143,36,60.513
3144,39,72.455
3145,111,181.985
3146,123,199.657
3147,108,166.152
3148,60,99.53
3149,280,424.847
3150,594,852.956
3151,123,174.995
3152,233,366.853
3153,138,200.625
3154,42,63.675
3155,195,316.656
3156,317,501.975
3158,54,76.227
3159,30,44.87
3160,98,132.704
3161,42,81.12
3162,72,104.951
3163,148,217.853
3164,1,1.52
3165,148,235.611
3166,107,166.505
3167,45,78.705
3168,58,83.095
3169,78,119.216
3170,140,229.794
3171,148,190.33
3172,106,161.581
3173,242,346.814
3174,154,232.507
3175,237,334.855
3177,68,105.94
3178,538,739.51
3179,48,83.89
3180,108,150.362
3181,41,57.284
3182,32,49.7
3183,39,53.24
3184,46,78.265
3185,43,75.154
3186,118,203.032
3187,250,320.892
3188,99,173.784
3189,41,63.625
3190,46,79.23
3191,70,110.841
3192,108,172.487
3193,125,215.873
3194,55,88.228
3195,235,384.506
3196,238,330.304
3197,242,315.624
3198,262,348.523
3199,648,872.716
3200,38,59.445
3201,255,343.9
3202,17,24.725
3204,161,251.871
3205,19,25.056
3206,42,73.929
3207,31,45.132
3211,38,72.942
3212,161,273.348
3213,0,0
3214,161,258.433
3215,122,193.146
3216,499,768.871
3217,0,0
3218,73,114.053
3219,217,305.735
3220,104,225.173
3221,144,278.83
3222,117,185.509
3223,114,165.86
3224,91,138.865
3225,73,116.918
3226,111,193.12
3227,66,96.574
3228,165,285.498
3230,56,90.758
3231,28,44.389
3232,17,31.48
3233,28,42.2
3234,0,0
3235,1,1.98
3236,9,14.9
3237,3,3.73
3238,7,12.39
3239,6,10.32
3240,28,48.64
3241,23,37.773
3242,11,16.265
3243,6,8.44
3249,37,55.049
3250,54,77.724
3251,1,1.645
3254,3,4.13
3260,18,32.26
3264,5,11.24
3265,19,45.513
3266,9,26.28
3267,0,0
3268,13,23.15
3269,5,7.82
3270,2,2.66
3271,1,2.97
3272,5,7.49
3273,0,0
3274,0,0
3275,4,4.91
